unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2008_06_AFG_FOOD,2008_06,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,101.9
2008_06_AFG_ALCO,2008_06,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,71.51
2008_06_AFG_CLTH,2008_06,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,48.9
2008_06_AFG_HOUS,2008_06,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,47.53
2008_06_AFG_FURN,2008_06,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2008_06_AFG_HEAL,2008_06,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2008_06_AFG_TRNS,2008_06,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2008_06_AFG_COMM,2008_06,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2008_06_AFG_CLTR,2008_06,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2008_06_AFG_EDUC,2008_06,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2008_06_AFG_RHTL,2008_06,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,65.51
2008_06_AFG_MISC,2008_06,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,86.56
2008_06_AFG_MEDI,2008_06,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,52.56
2008_06_AFG_PNSN,2008_06,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2008_06_AFG_OUTA,2008_06,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2008_06_AFG_TOTL,2008_06,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,89.4107580914392
2008_06_ALB_FOOD,2008_06,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,849.31,81.59
2008_06_ALB_ALCO,2008_06,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,108.7,92.47
2008_06_ALB_CLTH,2008_06,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,4.88,68.8
2008_06_ALB_HOUS,2008_06,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1673.99,57.31
2008_06_ALB_FURN,2008_06,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",97.07,120.36
2008_06_ALB_HEAL,2008_06,ALB,Albania,Albania,Tirana,HEAL,Health ,170.85,74.65
2008_06_ALB_TRNS,2008_06,ALB,Albania,Albania,Tirana,TRNS,Transport ,378.26,103.35
2008_06_ALB_COMM,2008_06,ALB,Albania,Albania,Tirana,COMM,Communication ,152.37,171.67
2008_06_ALB_CLTR,2008_06,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,263.54,103.96
2008_06_ALB_EDUC,2008_06,ALB,Albania,Albania,Tirana,EDUC,Education ,44.58,36.7
2008_06_ALB_RHTL,2008_06,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,226.19,56.1
2008_06_ALB_MISC,2008_06,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,154.51,80.66
2008_06_ALB_MEDI,2008_06,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,342.54,46.64
2008_06_ALB_PNSN,2008_06,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,948.26,100.0
2008_06_ALB_OUTA,2008_06,ALB,Albania,Albania,Tirana,OUTA,Out Area ,3610.03,100.0
2008_06_ALB_TOTL,2008_06,ALB,Albania,Albania,Tirana,TOTL,Total,9025.08,86.74527940250535
2008_06_DZA_FOOD,2008_06,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,874.71,73.92
2008_06_DZA_ALCO,2008_06,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,110.11,101.7
2008_06_DZA_CLTH,2008_06,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,4.82,52.67
2008_06_DZA_HOUS,2008_06,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1998.56,67.11
2008_06_DZA_FURN,2008_06,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",66.65,111.29
2008_06_DZA_HEAL,2008_06,DZA,Algeria,Algeria,Algiers,HEAL,Health ,69.69,204.22
2008_06_DZA_TRNS,2008_06,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,147.34,76.41
2008_06_DZA_COMM,2008_06,DZA,Algeria,Algeria,Algiers,COMM,Communication ,188.06,73.05
2008_06_DZA_CLTR,2008_06,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,298.65,98.35
2008_06_DZA_EDUC,2008_06,DZA,Algeria,Algeria,Algiers,EDUC,Education ,,
2008_06_DZA_RHTL,2008_06,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,192.85,67.24
2008_06_DZA_MISC,2008_06,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,136.06,38.03
2008_06_DZA_MEDI,2008_06,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,342.46,49.2
2008_06_DZA_PNSN,2008_06,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,948.26,100.0
2008_06_DZA_OUTA,2008_06,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,3585.49,100.0
2008_06_DZA_TOTL,2008_06,DZA,Algeria,Algeria,Algiers,TOTL,Total,8963.71,85.58682501494488
2008_06_AGO_FOOD,2008_06,AGO,Angola,Angola,Luanda,FOOD,Food And Non-alcoholic Beverages ,954.96,107.75
2008_06_AGO_ALCO,2008_06,AGO,Angola,Angola,Luanda,ALCO,Alcoholic Beverages And Tobacco ,119.5,120.49
2008_06_AGO_CLTH,2008_06,AGO,Angola,Angola,Luanda,CLTH,Clothing And Footwear ,4.98,72.55
2008_06_AGO_HOUS,2008_06,AGO,Angola,Angola,Luanda,HOUS,"Housing, Water, Electricity, Gas And Fuels ",3025.65,109.01
2008_06_AGO_FURN,2008_06,AGO,Angola,Angola,Luanda,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",98.92,136.79
2008_06_AGO_HEAL,2008_06,AGO,Angola,Angola,Luanda,HEAL,Health ,138.64,57.4
2008_06_AGO_TRNS,2008_06,AGO,Angola,Angola,Luanda,TRNS,Transport ,415.07,88.49
2008_06_AGO_COMM,2008_06,AGO,Angola,Angola,Luanda,COMM,Communication ,205.82,131.5
2008_06_AGO_CLTR,2008_06,AGO,Angola,Angola,Luanda,CLTR,Recreation And Culture ,298.89,133.52
2008_06_AGO_EDUC,2008_06,AGO,Angola,Angola,Luanda,EDUC,Education ,,
2008_06_AGO_RHTL,2008_06,AGO,Angola,Angola,Luanda,RHTL,Restaurants And Hotels ,256.49,85.46
2008_06_AGO_MISC,2008_06,AGO,Angola,Angola,Luanda,MISC,Miscellaneous Goods And Services ,164.74,77.67
2008_06_AGO_MEDI,2008_06,AGO,Angola,Angola,Luanda,MEDI,Medical Insurance ,368.5,48.36
2008_06_AGO_PNSN,2008_06,AGO,Angola,Angola,Luanda,PNSN,Pension Contribution ,948.26,100.0
2008_06_AGO_OUTA,2008_06,AGO,Angola,Angola,Luanda,OUTA,Out Area ,3000.18,100.0
2008_06_AGO_TOTL,2008_06,AGO,Angola,Angola,Luanda,TOTL,Total,10000.6,101.38968733876057
2008_06_ARG_FOOD,2008_06,ARG,Argentina,Argentina,Buenos Aires,FOOD,Food And Non-alcoholic Beverages ,656.93,54.46
2008_06_ARG_ALCO,2008_06,ARG,Argentina,Argentina,Buenos Aires,ALCO,Alcoholic Beverages And Tobacco ,76.84,62.85
2008_06_ARG_CLTH,2008_06,ARG,Argentina,Argentina,Buenos Aires,CLTH,Clothing And Footwear ,131.9,51.41
2008_06_ARG_HOUS,2008_06,ARG,Argentina,Argentina,Buenos Aires,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1983.36,71.37
2008_06_ARG_FURN,2008_06,ARG,Argentina,Argentina,Buenos Aires,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",81.43,69.47
2008_06_ARG_HEAL,2008_06,ARG,Argentina,Argentina,Buenos Aires,HEAL,Health ,171.45,47.74
2008_06_ARG_TRNS,2008_06,ARG,Argentina,Argentina,Buenos Aires,TRNS,Transport ,301.89,69.3
2008_06_ARG_COMM,2008_06,ARG,Argentina,Argentina,Buenos Aires,COMM,Communication ,132.05,84.0
2008_06_ARG_CLTR,2008_06,ARG,Argentina,Argentina,Buenos Aires,CLTR,Recreation And Culture ,250.35,99.63
2008_06_ARG_EDUC,2008_06,ARG,Argentina,Argentina,Buenos Aires,EDUC,Education ,45.67,20.87
2008_06_ARG_RHTL,2008_06,ARG,Argentina,Argentina,Buenos Aires,RHTL,Restaurants And Hotels ,167.62,52.51
2008_06_ARG_MISC,2008_06,ARG,Argentina,Argentina,Buenos Aires,MISC,Miscellaneous Goods And Services ,151.94,57.18
2008_06_ARG_MEDI,2008_06,ARG,Argentina,Argentina,Buenos Aires,MEDI,Medical Insurance ,280.86,42.66
2008_06_ARG_PNSN,2008_06,ARG,Argentina,Argentina,Buenos Aires,PNSN,Pension Contribution ,918.95,100.0
2008_06_ARG_OUTA,2008_06,ARG,Argentina,Argentina,Buenos Aires,OUTA,Out Area ,2293.39,100.0
2008_06_ARG_TOTL,2008_06,ARG,Argentina,Argentina,Buenos Aires,TOTL,Total,7644.629999999999,79.35257834915456
2008_06_ARM_FOOD,2008_06,ARM,Armenia,Armenia,Yerevan,FOOD,Food And Non-alcoholic Beverages ,638.89,91.09
2008_06_ARM_ALCO,2008_06,ARM,Armenia,Armenia,Yerevan,ALCO,Alcoholic Beverages And Tobacco ,91.46,132.77
2008_06_ARM_CLTH,2008_06,ARM,Armenia,Armenia,Yerevan,CLTH,Clothing And Footwear ,4.51,80.93
2008_06_ARM_HOUS,2008_06,ARM,Armenia,Armenia,Yerevan,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1858.32,48.51
