unique_id,yr_month,iso_a3,cmn_cntry,un_cntry,city,cat_code,group,weight,index
2024_06_AFG_FOOD,2024_06,AFG,Afghanistan,Afghanistan,Kabul,FOOD,Food And Non-alcoholic Beverages ,472.16,71.0
2024_06_AFG_ALCO,2024_06,AFG,Afghanistan,Afghanistan,Kabul,ALCO,Alcoholic Beverages And Tobacco ,150.69,52.66
2024_06_AFG_CLTH,2024_06,AFG,Afghanistan,Afghanistan,Kabul,CLTH,Clothing And Footwear ,1.39,28.88
2024_06_AFG_HOUS,2024_06,AFG,Afghanistan,Afghanistan,Kabul,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1050.35,38.59
2024_06_AFG_FURN,2024_06,AFG,Afghanistan,Afghanistan,Kabul,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",,
2024_06_AFG_HEAL,2024_06,AFG,Afghanistan,Afghanistan,Kabul,HEAL,Health ,,
2024_06_AFG_TRNS,2024_06,AFG,Afghanistan,Afghanistan,Kabul,TRNS,Transport ,,
2024_06_AFG_COMM,2024_06,AFG,Afghanistan,Afghanistan,Kabul,COMM,Communication ,,
2024_06_AFG_CLTR,2024_06,AFG,Afghanistan,Afghanistan,Kabul,CLTR,Recreation And Culture ,,
2024_06_AFG_EDUC,2024_06,AFG,Afghanistan,Afghanistan,Kabul,EDUC,Education ,,
2024_06_AFG_RHTL,2024_06,AFG,Afghanistan,Afghanistan,Kabul,RHTL,Restaurants And Hotels ,191.29,38.24
2024_06_AFG_MISC,2024_06,AFG,Afghanistan,Afghanistan,Kabul,MISC,Miscellaneous Goods And Services ,122.58,64.72
2024_06_AFG_MEDI,2024_06,AFG,Afghanistan,Afghanistan,Kabul,MEDI,Medical Insurance ,392.75,42.66
2024_06_AFG_PNSN,2024_06,AFG,Afghanistan,Afghanistan,Kabul,PNSN,Pension Contribution ,899.71,100.0
2024_06_AFG_OUTA,2024_06,AFG,Afghanistan,Afghanistan,Kabul,OUTA,Out Area ,4921.38,100.0
2024_06_AFG_TOTL,2024_06,AFG,Afghanistan,Afghanistan,Kabul,TOTL,Total,8202.3,84.68461479481152
2024_06_ALB_FOOD,2024_06,ALB,Albania,Albania,Tirana,FOOD,Food And Non-alcoholic Beverages ,660.7,83.38
2024_06_ALB_ALCO,2024_06,ALB,Albania,Albania,Tirana,ALCO,Alcoholic Beverages And Tobacco ,89.03,109.89
2024_06_ALB_CLTH,2024_06,ALB,Albania,Albania,Tirana,CLTH,Clothing And Footwear ,225.82,111.62
2024_06_ALB_HOUS,2024_06,ALB,Albania,Albania,Tirana,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2004.56,61.49
2024_06_ALB_FURN,2024_06,ALB,Albania,Albania,Tirana,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",104.94,75.23
2024_06_ALB_HEAL,2024_06,ALB,Albania,Albania,Tirana,HEAL,Health ,119.48,53.25
2024_06_ALB_TRNS,2024_06,ALB,Albania,Albania,Tirana,TRNS,Transport ,359.27,96.52
2024_06_ALB_COMM,2024_06,ALB,Albania,Albania,Tirana,COMM,Communication ,136.57,48.41
2024_06_ALB_CLTR,2024_06,ALB,Albania,Albania,Tirana,CLTR,Recreation And Culture ,215.69,119.66
2024_06_ALB_EDUC,2024_06,ALB,Albania,Albania,Tirana,EDUC,Education ,261.4,41.52
2024_06_ALB_RHTL,2024_06,ALB,Albania,Albania,Tirana,RHTL,Restaurants And Hotels ,467.51,38.55
2024_06_ALB_MISC,2024_06,ALB,Albania,Albania,Tirana,MISC,Miscellaneous Goods And Services ,163.19,75.33
2024_06_ALB_MEDI,2024_06,ALB,Albania,Albania,Tirana,MEDI,Medical Insurance ,351.65,27.16
2024_06_ALB_PNSN,2024_06,ALB,Albania,Albania,Tirana,PNSN,Pension Contribution ,1262.21,100.0
2024_06_ALB_OUTA,2024_06,ALB,Albania,Albania,Tirana,OUTA,Out Area ,2752.3,100.0
2024_06_ALB_TOTL,2024_06,ALB,Albania,Albania,Tirana,TOTL,Total,9174.32,79.72706954119649
2024_06_DZA_FOOD,2024_06,DZA,Algeria,Algeria,Algiers,FOOD,Food And Non-alcoholic Beverages ,742.81,75.22
2024_06_DZA_ALCO,2024_06,DZA,Algeria,Algeria,Algiers,ALCO,Alcoholic Beverages And Tobacco ,94.23,93.27
2024_06_DZA_CLTH,2024_06,DZA,Algeria,Algeria,Algiers,CLTH,Clothing And Footwear ,115.01,40.15
2024_06_DZA_HOUS,2024_06,DZA,Algeria,Algeria,Algiers,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1842.09,59.95
2024_06_DZA_FURN,2024_06,DZA,Algeria,Algeria,Algiers,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",88.8,55.31
2024_06_DZA_HEAL,2024_06,DZA,Algeria,Algeria,Algiers,HEAL,Health ,101.58,70.69
2024_06_DZA_TRNS,2024_06,DZA,Algeria,Algeria,Algiers,TRNS,Transport ,189.99,33.23
2024_06_DZA_COMM,2024_06,DZA,Algeria,Algeria,Algiers,COMM,Communication ,122.56,474.97
2024_06_DZA_CLTR,2024_06,DZA,Algeria,Algeria,Algiers,CLTR,Recreation And Culture ,177.23,78.64
2024_06_DZA_EDUC,2024_06,DZA,Algeria,Algeria,Algiers,EDUC,Education ,275.99,
2024_06_DZA_RHTL,2024_06,DZA,Algeria,Algeria,Algiers,RHTL,Restaurants And Hotels ,659.05,46.07
2024_06_DZA_MISC,2024_06,DZA,Algeria,Algeria,Algiers,MISC,Miscellaneous Goods And Services ,137.13,93.14
2024_06_DZA_MEDI,2024_06,DZA,Algeria,Algeria,Algiers,MEDI,Medical Insurance ,411.2,
2024_06_DZA_PNSN,2024_06,DZA,Algeria,Algeria,Algiers,PNSN,Pension Contribution ,1262.21,100.0
2024_06_DZA_OUTA,2024_06,DZA,Algeria,Algeria,Algiers,OUTA,Out Area ,4146.59,100.0
2024_06_DZA_TOTL,2024_06,DZA,Algeria,Algeria,Algiers,TOTL,Total,10366.47,80.1657047571086
2024_06_AGO_FOOD,2024_06,AGO,Angola,Angola,Luanda,FOOD,Food And Non-alcoholic Beverages ,1009.09,74.87
2024_06_AGO_ALCO,2024_06,AGO,Angola,Angola,Luanda,ALCO,Alcoholic Beverages And Tobacco ,131.96,104.42
2024_06_AGO_CLTH,2024_06,AGO,Angola,Angola,Luanda,CLTH,Clothing And Footwear ,79.89,52.53
2024_06_AGO_HOUS,2024_06,AGO,Angola,Angola,Luanda,HOUS,"Housing, Water, Electricity, Gas And Fuels ",1415.04,37.87
2024_06_AGO_FURN,2024_06,AGO,Angola,Angola,Luanda,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",94.78,66.88
2024_06_AGO_HEAL,2024_06,AGO,Angola,Angola,Luanda,HEAL,Health ,,
2024_06_AGO_TRNS,2024_06,AGO,Angola,Angola,Luanda,TRNS,Transport ,156.63,55.52
2024_06_AGO_COMM,2024_06,AGO,Angola,Angola,Luanda,COMM,Communication ,162.67,146.76
2024_06_AGO_CLTR,2024_06,AGO,Angola,Angola,Luanda,CLTR,Recreation And Culture ,219.07,136.16
2024_06_AGO_EDUC,2024_06,AGO,Angola,Angola,Luanda,EDUC,Education ,233.39,140.83
2024_06_AGO_RHTL,2024_06,AGO,Angola,Angola,Luanda,RHTL,Restaurants And Hotels ,356.41,55.99
2024_06_AGO_MISC,2024_06,AGO,Angola,Angola,Luanda,MISC,Miscellaneous Goods And Services ,85.92,
2024_06_AGO_MEDI,2024_06,AGO,Angola,Angola,Luanda,MEDI,Medical Insurance ,504.08,33.47
2024_06_AGO_PNSN,2024_06,AGO,Angola,Angola,Luanda,PNSN,Pension Contribution ,1340.96,100.0
2024_06_AGO_OUTA,2024_06,AGO,Angola,Angola,Luanda,OUTA,Out Area ,5789.89,100.0
2024_06_AGO_TOTL,2024_06,AGO,Angola,Angola,Luanda,TOTL,Total,11579.78,85.7274810572632
2024_06_ARG_FOOD,2024_06,ARG,Argentina,Argentina,Buenos Aires,FOOD,Food And Non-alcoholic Beverages ,800.16,95.84
2024_06_ARG_ALCO,2024_06,ARG,Argentina,Argentina,Buenos Aires,ALCO,Alcoholic Beverages And Tobacco ,109.58,133.92
2024_06_ARG_CLTH,2024_06,ARG,Argentina,Argentina,Buenos Aires,CLTH,Clothing And Footwear ,237.08,113.3
2024_06_ARG_HOUS,2024_06,ARG,Argentina,Argentina,Buenos Aires,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2195.77,54.31
2024_06_ARG_FURN,2024_06,ARG,Argentina,Argentina,Buenos Aires,FURN,"Furniture, Household Equipment And Routine Maintenance Of The House ",112.14,77.38
2024_06_ARG_HEAL,2024_06,ARG,Argentina,Argentina,Buenos Aires,HEAL,Health ,138.79,69.0
2024_06_ARG_TRNS,2024_06,ARG,Argentina,Argentina,Buenos Aires,TRNS,Transport ,502.15,96.25
2024_06_ARG_COMM,2024_06,ARG,Argentina,Argentina,Buenos Aires,COMM,Communication ,146.44,89.71
2024_06_ARG_CLTR,2024_06,ARG,Argentina,Argentina,Buenos Aires,CLTR,Recreation And Culture ,275.5,83.69
2024_06_ARG_EDUC,2024_06,ARG,Argentina,Argentina,Buenos Aires,EDUC,Education ,305.39,45.18
2024_06_ARG_RHTL,2024_06,ARG,Argentina,Argentina,Buenos Aires,RHTL,Restaurants And Hotels ,591.11,62.78
2024_06_ARG_MISC,2024_06,ARG,Argentina,Argentina,Buenos Aires,MISC,Miscellaneous Goods And Services ,176.59,124.95
2024_06_ARG_MEDI,2024_06,ARG,Argentina,Argentina,Buenos Aires,MEDI,Medical Insurance ,463.24,
2024_06_ARG_PNSN,2024_06,ARG,Argentina,Argentina,Buenos Aires,PNSN,Pension Contribution ,1218.63,100.0
2024_06_ARG_OUTA,2024_06,ARG,Argentina,Argentina,Buenos Aires,OUTA,Out Area ,3116.82,100.0
2024_06_ARG_TOTL,2024_06,ARG,Argentina,Argentina,Buenos Aires,TOTL,Total,10389.39,80.46822614061982
2024_06_ARM_FOOD,2024_06,ARM,Armenia,Armenia,Yerevan,FOOD,Food And Non-alcoholic Beverages ,942.43,90.21
2024_06_ARM_ALCO,2024_06,ARM,Armenia,Armenia,Yerevan,ALCO,Alcoholic Beverages And Tobacco ,98.1,96.99
2024_06_ARM_CLTH,2024_06,ARM,Armenia,Armenia,Yerevan,CLTH,Clothing And Footwear ,113.05,97.27
2024_06_ARM_HOUS,2024_06,ARM,Armenia,Armenia,Yerevan,HOUS,"Housing, Water, Electricity, Gas And Fuels ",2294.32,67.56
